product_id,name,description_html,price_gross,vat,quantity,category_path,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,image_url_6,image_url_7,image_url_8,image_url_9,image_url_10,param_WeightRange,param_Subcategory,param_PhoneOrderOnly,param_TeethEnabled,param_ToothCost,param_ToothQty,param_MountSystems,param_A,param_B,param_C,param_D,param_Center,param_BrandModel,param_MachineWeight
zrywak-podwojny-4-8t,Zrywak podwójny 4–8T,"Zrywak do koparki – stal HARDOX HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2706,23,10,Rippery/Zrywaki korzeni,https://cdn.sanity.io/images/3a7q0xhj/production/46f0b61c8f9a6d296a1387f710be815106624e86-421x593.png,,,,,,,,,,4-8t,,false,false,,,,,,,,,,
wiertnica-glebowa,Wiertnica glebowa – napęd,"Napęd wiertnicy + możliwość doboru systemu mocowania (Wahacz gięty, Wahacz kostka, Premium) oraz wiertła (Fi 250 / 300 / 400).

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",3025.8,23,5,Wiertnice,https://cdn.sanity.io/images/3a7q0xhj/production/d85366cae662ae2deef4781fc95023baf1e08317-331x741.png,,,,,,,,,,,,false,false,,,,,,,,,,
zrywak-podwojny-2-4t,Zrywak podwójny 2–4T,"Zrywak do koparki – stal HARDOX HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2164.8,23,10,Rippery/Zrywaki korzeni,https://cdn.sanity.io/images/3a7q0xhj/production/ef5b33ba65f65a3ccccbdc6f94d42711cca7fdab-415x602.png,,,,,,,,,,2-4t,,true,false,,,,,,,,,,
zrywak-pojedynczy-4-8t,Zrywak pojedynczy 4–8T,"Zrywak do koparki – stal HARDOX HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2214,23,10,Rippery/Zrywaki korzeni,https://cdn.sanity.io/images/3a7q0xhj/production/7fe001415fc96a576adca031afdce7c60050a90a-413x604.png,,,,,,,,,,4-8t,,false,false,,,,,,,,,,
lyzka-skarpowa-120cm-1.5-2.3t,Łyżka skarpowa 120cm (1.5-2.3t),"Łyżka skarpowa 120cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1906.5,23,5,Łyżki kat. 1.5-2.3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/e761f4bbeb4ef263c35fe303a5c9713d20e044c2-1600x741.jpg,,,,,,,,,,,lyzki-skarpowe,false,false,0,0,,,,,,,,
lyzka-kopiaca-100cm-3-5t,Łyżka kopiąca 100cm (3-5t),"Łyżka kopiąca 100cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2952,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/c3a3028b4ca999c80d2aad4bd495166147995355-1503x1221.png,,,,,,,,,,,lyzki-kopiace,false,true,270,5,,,,,,,,
lyzka-kopiaca-20cm-1-1.5t,Łyżka kopiąca 20cm (1-1.5t),"Łyżka kopiąca 20cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",861,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/5d137cce7e16cb9170373bd038cdd0bc03a62f4c-1484x1001.webp,,,,,,,,,,,lyzki-kopiace,false,false,120,2,,,,,,,,
lyzka-kopiaca-45cm-1-1.5t,Łyżka kopiąca 45cm (1-1.5t),"Łyżka kopiąca 45cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1020.9,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/3f77b572b33dae23d4ccc0d0e8e5c07351e16276-1484x980.webp,,,,,,,,,,,lyzki-kopiace,false,false,200,4,,,,,,,,
lyzka-kopiaca-60cm-1-1.5t,Łyżka kopiąca 60cm (1-1.5t),"Łyżka kopiąca 60cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1107,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/cbcbbf809fab7572abad1248c707eb81228fe59e-1484x980.jpg,,,,,,,,,,,lyzki-kopiace,false,false,240,5,,,,,,,,
lyzka-kopiaca-70cm-1-1.5t,Łyżka kopiąca 70cm (1-1.5t),"Łyżka kopiąca 70cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1156.2,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/ad997bd0cbc49ce512b5c2e0fcf50d06ea8af4dc-1484x980.webp,,,,,,,,,,,lyzki-kopiace,false,false,240,5,,,,,,,,
