SKU,Nazwa,Opis,Cena_brutto,VAT,Stan_magazynowy,Kategoria,Marka,Status,Zdjęcie_1,Zdjęcie_2,Zdjęcie_3,Zakres_wagowy,Podkategoria,Zamówienia_telefoniczne
grabie-100cm-12mm,Grabie 100cm grubość zęba 12mm,"Grabie 100cm z 20 zębami grubość 12mm. Lemiesz tnący Hardox HB500. Kompatybilne z JCB, CAT, Yanmar, Volvo, Bobcat, Hitachi, Atlas, Hyundai, Case, John Deere, Mecalac, Kubota, Liebherr, Taeuchi. Szybkozłącza: MS01, MS03, CW05.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1845,23,4,Grabie/Grabie 100cm • 12mm zęby,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/5e983e8d8dac6726a80e2fd9a0b09ecf738d4a2a-578x432.png,,,,grabie-100-12,Nie
grabie-100cm-15mm,Grabie 100cm grubość zęba 15mm,"Grabie 100cm z 20 zębami grubość 15mm. Lemiesz tnący Hardox HB500. Kompatybilne z JCB, CAT, Yanmar, Volvo, Bobcat, Hitachi, Atlas, Hyundai, Case, John Deere, Mecalac, Kubota, Liebherr, Taeuchi. Szybkozłącza: MS01, MS03, CW05.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2189.4,23,3,Grabie/Grabie 100cm • 15mm zęby,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/5e983e8d8dac6726a80e2fd9a0b09ecf738d4a2a-578x432.png,,,,grabie-100-15,Nie
grabie-120cm-standard,Grabie 120cm (Standard),"Grabie 120cm z 22 zębami grubość 12mm - wersja standardowa. Kompatybilne z JCB, CAT, Yanmar, Volvo, Bobcat, Hitachi, Atlas, Hyundai, Case, John Deere, Mecalac, Kubota, Liebherr, Taeuchi. Szybkozłącza: MS01, MS03, CW05.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2570.7,23,3,Grabie,MiniTeamProject,hot,https://cdn.sanity.io/images/3a7q0xhj/production/9ffb026d3afed7ca420f6fe11abe76153561c279-654x381.png,,,,lyzki-skarpowe,Nie
grabie-120cm-12mm,Grabie 120cm grubość zęba 12mm,"Grabie 120cm z 22 zęby grubość 12mm. Lemiesz tnący Hardox HB500. Kompatybilne z JCB, CAT, Yanmar, Volvo, Bobcat, Hitachi, Atlas, Hyundai, Case, John Deere, Mecalac, Kubota, Liebherr, Taeuchi. Szybkozłącza: MS01, MS03, CW05.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2091,23,2,Grabie/Grabie 120cm • 12mm zęby,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/9ffb026d3afed7ca420f6fe11abe76153561c279-654x381.png,,,,grabie-120-12,Nie
grabie-120cm-15mm,Grabie 120cm grubość zęba 15mm,"Grabie 120cm z 22 zęby grubość 15mm. Lemiesz tnący Hardox HB500. Kompatybilne z JCB, CAT, Yanmar, Volvo, Bobcat, Hitachi, Atlas, Hyundai, Case, John Deere, Mecalac, Kubota, Liebherr, Taeuchi. Szybkozłącza: MS01, MS03, CW05.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2386.2,23,3,Grabie/Grabie 120cm • 15mm zęby,MiniTeamProject,hot,https://cdn.sanity.io/images/3a7q0xhj/production/9ffb026d3afed7ca420f6fe11abe76153561c279-654x381.png,,,,grabie-120-15,Nie
szczotka-zamiatarka-do-koparki,Szczotka zamiatarka do koparki,"W ofercie nowa szczotka do zamiatania do minikoparki/koparki.
Solidna i wytrzymała, idealna do prac porządkowych w terenie.

Specyfikacja:

Wymiary: 120 × 40 cm

Długość włosia: 250 mm

Grubość włosia: 3 mm

Mocna i trwała konstrukcja

Łatwa w montażu i obsłudze

Zastosowanie:

zamiatanie chodników i ulic

usuwanie błota, piasku, żwiru

zamiatanie placów, kostki brukowej, parkingów

idealna do utrzymania czystości na budowie

Pasuje do minikoparek oraz koparek różnych marek.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",3486,23,0,Uncategorized,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/30bda91a2d628c590875850dc85278bfb97f3afd-1600x1200.jpg,https://cdn.sanity.io/images/3a7q0xhj/production/14eee808bacaeb7dd4ff34870379c97a7e51e548-1600x1200.jpg,https://cdn.sanity.io/images/3a7q0xhj/production/ef0df500c405bb507c998c02d594a71fb0d9deeb-1200x1600.jpg,,,Nie
wiertnica-glebowa,Wiertnica glebowa – napęd,"Napęd wiertnicy + możliwość doboru systemu mocowania (Wahacz gięty, Wahacz kostka, Premium) oraz wiertła (Fi 250 / 300 / 400).

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",3025.8,23,5,Wiertnice,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/d85366cae662ae2deef4781fc95023baf1e08317-331x741.png,,,,,Nie
zrywak-korzeni-1-2t,Zrywak korzeni 1-2t,"Zrywak korzeni do maszyn 1-2 t. Grubość zęba 20mm. Końcówka zęba Hardox HB500. Szybkozłącza MS01/CW05.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1107,23,4,Rippery/Zrywaki korzeni,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/42f46de039127aa4ef0b86744610f40d699c4bfd-415x601.png,,,1-2t,,Nie
zrywak-podwojny-2-4t,Zrywak podwójny 2–4T,"Zrywak do koparki – stal HARDOX HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2164.8,23,10,Rippery/Zrywaki korzeni,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/ef5b33ba65f65a3ccccbdc6f94d42711cca7fdab-415x602.png,,,2-4t,,Tak
zrywak-podwojny-4-8t,Zrywak podwójny 4–8T,"Zrywak do koparki – stal HARDOX HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2706,23,10,Rippery/Zrywaki korzeni,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/46f0b61c8f9a6d296a1387f710be815106624e86-421x593.png,,,4-8t,,Nie
